City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
324,Coquimbo,75,CL,1655902154,58,-29.9533,-71.3436,56.93,21.85
325,Prado,21,BR,1655902399,65,-17.3411,-39.2208,78.4,2.04
326,Miran Shah,65,PK,1655902399,47,33.0086,70.0697,75.04,4.99
327,Camaná,27,PE,1655902400,77,-16.6228,-72.7111,60.94,5.77
328,Gravdal,100,NO,1655902400,61,68.1214,13.5031,48.18,11.25
329,Vigrestad,100,NO,1655902400,73,58.5667,5.7,62.96,10.6
330,Bayan,100,CN,1655902401,86,46.0833,127.4,70.09,10.87
331,Newton Stewart,60,GB,1655902402,62,54.9578,-4.4832,66.0,8.14
332,Waldoboro,4,US,1655902402,76,44.0954,-69.3756,63.9,8.48
333,Ano Psychiko,61,GR,1655902402,41,41.0,23.6333,98.2,5.01
334,Altay,0,CN,1655902264,35,47.8667,88.1167,81.9,6.31
335,Torrington,98,US,1655902403,97,41.8007,-73.1212,60.73,1.99
336,Kajansi,93,UG,1655902403,55,0.2081,32.5222,77.68,11.14
337,Babylon,100,US,1655902404,81,40.6957,-73.3257,64.33,10.36
338,Plettenberg Bay,100,ZA,1655902404,59,-34.0527,23.3716,66.63,2.59
339,Darhan,1,MN,1655902300,74,49.4867,105.9228,62.91,2.08
340,Shaoxing,1,CN,1655902404,76,30.011,120.5715,84.15,8.08
341,Fairbanks,75,US,1655902270,85,64.8378,-147.7164,57.31,5.75
342,Bulungu,80,CD,1655902405,46,-4.55,18.6,87.6,1.66
343,Khudumelapye,100,BW,1655902406,32,-23.8833,24.75,70.07,13.06
344,Dawlatabad,0,AF,1655902406,14,36.4141,64.9053,91.44,11.95
345,Malindi,75,KE,1655902406,65,-3.2175,40.1191,82.56,28.77
346,Sangar,39,RU,1655902407,65,63.9242,127.4739,62.35,4.61
347,Arraial do Cabo,0,BR,1655902171,73,-22.9661,-42.0278,75.06,13.8
348,Alice Springs,0,AU,1655902373,71,-23.7,133.8833,47.75,0.0
349,Nago,0,JP,1655902316,90,26.5881,127.9761,83.25,4.92
350,Pathein,100,MM,1655902408,92,16.7833,94.7333,76.93,3.71
351,Broome,100,US,1655902408,77,42.2506,-75.833,71.71,4.0
352,Fort Nelson,75,CA,1655902181,94,58.8053,-122.7002,53.19,5.75
353,Kushima,0,JP,1655902195,94,31.4583,131.2333,74.84,5.32
354,Kavaratti,100,IN,1655902135,79,10.5669,72.642,83.3,20.2
355,Synya,100,RU,1655902409,88,65.3718,58.0387,51.13,8.32
